Doc_ID,Doc_TitleDescription,Doc_NameID [NameAuthority::OfficialCombined] ,[NameAuthority::OfficialCombined] Reference,Doc_Photographer,Doc_Date,Doc_BeginDateFilter,Doc_EndDateFilter,Doc_Type,Doc_Source,Doc_Note,Doc_ObjectID [Object::Object_KressCatalogNumber...Object_Title…Object_ArtistNameID [NameAuthority::OfficialCombined]...Object_InstitutionNameID [NameAuthority::OfficialCombined]],Object_KressCatalogNumber reference,Object_Title Reference,Object_ArtistOfficalCombined Reference,Object_InstitutionOfficialCombined reference,Doc_DocumentFilename,Doc_RelatedObjectID,,
DOC00021,"K1391 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2085,K1391,The Baptism of Christ,Nicolas Poussin,National Gallery of Art,52A2_K1391_04_00021.pdf,2085,,
DOC00022,"K1394 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1674,K1394,Portrait of a Lady,Elisabeth-Louise Vigée Le Brun,National Gallery of Art,52A2_K1394_01_00022.pdf,1674,,
DOC00023,"K1394 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1674,K1394,Portrait of a Lady,Elisabeth-Louise Vigée Le Brun,National Gallery of Art,52A2_K1394_04_00023.pdf,1674,,
DOC00024,"K0023 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_01_00024.pdf,1343,,
DOC00025,"K1390 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1710,K1390,Portrait of a Woman,French 18th Century,National Gallery of Art,52A2_K1390_01_00025.pdf,1710,,
DOC00026,"K1390 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1710,K1390,Portrait of a Woman,French 18th Century,National Gallery of Art,52A2_K1390_04_00026.pdf,1710,,
DOC00027,"K0023 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,Murray Keyes,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_02_00027.pdf,1343,,
DOC00028,"K0023 - Expert opinion by Suida, 1935",NAM1066,Suida ,Murray Keyes,1935,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_02_00028.pdf,1343,,
DOC00029,"K0023 - Expert opinion by Marle, circa 1920s-1930s",NAM0919,Marle ,Murray Keyes,circa 1920s-1930s,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_02_00029.pdf,1343,,
DOC00030,"K0023 - Expert opinion by Fiocco et al., circa 1930s-1940s",NAM0819; NAM1106,Fiocco; A. Venturi,,circa 1930s-1940s,1930,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_02_00030.pdf,1343,,
DOC00031,"K0023 - Expert opinion by Longhi, circa 1920s-1950s",NAM0915,Longhi ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_02_00031.pdf,1343,,
DOC00032,"K0023 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_02_00032.pdf,1343,,
DOC00033,"K0023 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Alfred R. Martin,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1343,K0023,Madonna and Child [obverse],Andrea di Bartolo,National Gallery of Art,52A2_K0023_04_00033.pdf,1343,,
DOC00034,"K1387 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2188,K1387,The Healing of Palladia by Saint Cosmas and Saint Damian,Fra Angelico,National Gallery of Art,52A2_K1387_01_00034.pdf,2188,,
DOC00035,"K1387 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Alfred R. Martin,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2188,K1387,The Healing of Palladia by Saint Cosmas and Saint Damian,Fra Angelico,National Gallery of Art,52A2_K1387_04_00035.pdf,2188,,
DOC00036,"K1362 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2183,K1362,The Gathering of Manna,Bacchiacca,National Gallery of Art,52A2_K1362_01_00036.pdf,2183,,
DOC00037,"K1362 - Alan Burroughs report, 1947",NAM0130,"Burroughs, Alan",,1947,1945,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery","Report only, no x-ray",2183,K1362,The Gathering of Manna,Bacchiacca,National Gallery of Art,52A2_K1362_03_00037.pdf,2183,,
DOC00038,"K1362 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Alfred R. Martin,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2183,K1362,The Gathering of Manna,Bacchiacca,National Gallery of Art,52A2_K1362_04_00038.pdf,2183,,
DOC00039,"K1361 - Art object record, circa 1930s-1950s",NAM0599,SHKF,Murray Keyes,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_01_00039.pdf,2115,,
DOC00040,"K1361 - Expert opinion by Bode, circa 1910s-1920s",NAM0766,Bode ,Murray Keyes,circa 1910s-1920s,1910,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_02_00040.pdf,2115,,
DOC00041,"K1361 - Expert opinion by Perkins, 1914",NAM0992,Perkins ,Murray Keyes,1914,1910,1914,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_02_00041.pdf,2115,,
DOC00042,"K1361 - Expert opinion by Marle, circa 1920s-1930s",NAM0919,Marle ,Murray Keyes,circa 1920s-1930s,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_02_00042.pdf,2115,,
DOC00043,"K0031 - Art object record, circa 1930s-1950s",NAM0599,SHKF,Murray Keyes,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_01_00043.pdf,1109,,
DOC00044,"K0031 - Expert opinion by Fiocco, 1936",NAM0819,Fiocco ,Murray Keyes,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_02_00044.pdf,1109,,
DOC00045,"K1361 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,Murray Keyes,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_02_00045.pdf,2115,,
DOC00046,"K0031 - Expert opinion by Suida, 1936",NAM1066,Suida ,,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_02_00046.pdf,1109,,
DOC00047,"K1361 - Alan Burroughs report, 1947",NAM0130,"Burroughs, Alan",,1947,1945,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery","Report only, no x-ray",2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_03_00047.pdf,2115,,
DOC00048,"K1361 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2115,K1361,The Crucifixion,Francesco del Cossa,National Gallery of Art,52A2_K1361_04_00048.pdf,2115,,
DOC00049,"K0031 - Expert opinion by A. Venturi, 1936",NAM1106,A. Venturi ,Murray Keyes,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_02_00049.pdf,1109,,
DOC00050,"K0031 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,Alfred R. Martin,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_02_00050.pdf,1109,,
DOC00051,"K1383 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1351,K1383,Madonna and Child Enthroned with Donor,Carlo Crivelli,National Gallery of Art,52A2_K1383_01_00051.pdf,1351,,
DOC00052,"K0031 - Expert opinion by Longhi, circa 1920s-1950s",NAM0915,Longhi ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_02_00052.pdf,1109,,
DOC00053,"K0031 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1109,K0031,"Interior of the Pantheon, Rome",Giovanni Paolo Panini,National Gallery of Art,52A2_K0031_04_00053.pdf,1109,,
DOC00054,"K0045 - Art object record, circa 1930s-1950s",NAM0599,SHKF,Murray Keyes,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_01_00054.pdf,1322,,
DOC00055,"K0045 - Expert opinion by Fiocco, circa 1930s-1940s",NAM0819,Fiocco ,Murray Keyes,circa 1930s-1940s,1930,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_02_00055.pdf,1322,,
DOC00056,"K0045 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,Murray Keyes,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_02_00056.pdf,1322,,
DOC00057,"K0045 - Expert opinion by Suida, 1935",NAM1066,Suida ,,1935,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_02_00057.pdf,1322,,
DOC00058,"K1383 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1351,K1383,Madonna and Child Enthroned with Donor,Carlo Crivelli,National Gallery of Art,52A2_K1383_04_00058.pdf,1351,,
DOC00059,"K0045 - Expert opinion by Marle et al., circa 1920s-1930s",NAM0919; NAM1106,Marle; A. Venturi,Murray Keyes,circa 1920s-1930s,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_02_00059.pdf,1322,,
DOC00060,"K0045 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_02_00060.pdf,1322,,
DOC00061,"K0045 - Expert opinion by Longhi, 1929",NAM0915,Longhi ,,1929,1925,1929,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_02_00061.pdf,1322,,
DOC00062,"K1388 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1353,K1388,Madonna and Child Enthroned with Saint Peter and Saint Paul,Domenico di Bartolo,National Gallery of Art,52A2_K1388_01_00062.pdf,1353,,
DOC00063,"K1388 - Expert opinion by Sirén, 1919",NAM1058,Sirén ,,1919,1915,1919,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1353,K1388,Madonna and Child Enthroned with Saint Peter and Saint Paul,Domenico di Bartolo,National Gallery of Art,52A2_K1388_02_00063.pdf,1353,,
DOC00064,"K0045 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1322,K0045,Madonna and Child,Bartolomeo Montagna,National Gallery of Art,52A2_K0045_04_00064.pdf,1322,,
DOC00065,"K1388 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Alfred R. Martin,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1353,K1388,Madonna and Child Enthroned with Saint Peter and Saint Paul,Domenico di Bartolo,National Gallery of Art,52A2_K1388_04_00065.pdf,1353,,
DOC00066,"K1366 - Art object record, circa 1930s-1950s",NAM0599,SHKF,Murray Keyes,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2327,K1366,The Veil of Veronica,Domenico Fetti,National Gallery of Art,52A2_K1366_01_00066.pdf,2327,,
DOC00067,"K0049 - Art object record, circa 1930s-1950s",NAM0599,SHKF,,circa 1930s-1950s,1930,1959,Art Object Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_01_00067.pdf,1724,,
DOC00068,"K1366 - Expert opinion by L. Venturi, 1943",NAM1108,L. Venturi ,Murray Keyes,1943,1940,1944,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2327,K1366,The Veil of Veronica,Domenico Fetti,National Gallery of Art,52A2_K1366_02_00068.pdf,2327,,
DOC00069,"K0049 - Expert opinion by Perkins, circa 1920s-1940s",NAM0992,Perkins ,Murray Keyes,circa 1920s-1940s,1920,1949,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_02_00069.pdf,1724,,
DOC00070,"K0049 - Expert opinion by A. Venturi, circa 1920s-1930s",NAM1106,A. Venturi ,,circa 1920-1930s ,1920,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_02_00070.pdf,1724,,
DOC00071,"K1366 - Alan Burroughs report, 1947",NAM0130,"Burroughs, Alan",Murray Keyes,1947,1945,1949,Alan Burroughs Report,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery","Report only, no x-ray",2327,K1366,The Veil of Veronica,Domenico Fetti,National Gallery of Art,52A2_K1366_03_00071.pdf,2327,,
DOC00072,"K0049 - Expert opinion by Suida, 1936",NAM1066,Suida ,Murray Keyes,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_02_00072.pdf,1724,,
DOC00073,"K0049 - Expert opinion by Fiocco, 1936",NAM0819,Fiocco ,,1936,1935,1939,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_02_00073.pdf,1724,,
DOC00074,"K1366 - Condition and restoration record, circa 1950s-1960s",NAM0599,SHKF,Murray Keyes,circa 1950s-1960s,1950,1969,Condition and Restoration Record,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,2327,K1366,The Veil of Veronica,Domenico Fetti,National Gallery of Art,52A2_K1366_04_00074.pdf,2327,,
DOC00075,"K0049 - Expert opinion by Berenson, circa 1920s-1950s",NAM0695,Berenson ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_02_00075.pdf,1724,,
DOC00076,"K0049 - Expert opinion by Longhi, circa 1920s-1950s",NAM0915,Longhi ,,circa 1920s-1950s,1920,1959,Expert Opinion,"National Gallery of Art, Gallery Archives, 46A2 Kress Collection Object Files - National Gallery",,1724,K0049,Portrait of a Young Woman,Giuliano Bugiardini,National Gallery of Art,52A2_K0049_02_00076.pdf,1724,,
