Acquisitions: Table 1

Acquisition_ID,Acquisition_TitleDescription,Acquisition_SellerNameID [NameAuthority::OfficialCombined],[NameAuthority::OfficialCombined] Seller Reference,Acquisition_Date,Acquisition_YearDateFilter,Acquisition_BeginDateFilter,Acquisition_EndDateFilter,Acquisition_Location,Acquisition_LocationFilter,Acquisition ObjectCount,Acquisition_PriceUSD,Acquisition_FinalPayDate,Acquisition_Source,Acquisition_Note,Acquisition_InternalNote,Acquisition_DocumentFilename,Acquisition_RelatedAcqObjJoinID,,,,,
ACQ013,"David Koetser Gallery, February 8, 1955 ",NAM0594,David Koetser Gallery,02/08/1955,1955,1955,1959,"32 East 57th Street, New York, NY","New York, New York",8,"$90,000.00",07/29/1955,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,Invoiced to the Foundationpaid in 3 installments,52C1_132893_19550208.pdf,PJN00009;PJN00096;PJN00350;PJN00351;PJN00352;PJN00353;PJN00354;PJN02061;,,,,,
ACQ014,"David Koetser Gallery, January 29, 1954 ",NAM0594,David Koetser Gallery,01/29/1954,1954,1950,1954,"32 East 57th Street, New York, NY","New York, New York",2,"$31,700.00",02/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"cancellation of Honthorst billed on invoice from 1/20/1954($3,300.00) made the invoice total $31,700.invoiced to the Foundation",52C1_132893_19540129.pdf,PJN00014;PJN00292,,,,,
ACQ015,"David Koetser Gallery, February 20, 1953 ",NAM0594,David Koetser Gallery,02/20/1953,1953,1950,1954,"32 East 57th Street, New York, NY","New York, New York",13,"$90,000.00",03/05/1953,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"K1953, K1952 bought as a pair  K1957 and K 1958 bought as a pairinvoiced to the Foundation",52C1_132893_19530220.pdf,PJN00051;PJN00145;PJN00269;PJN00270;PJN00271;PJN00272;PJN00273;PJN00274;PJN00275;PJN00276;PJN00277;PJN00278;PJN00279,,,,,
ACQ016,"David Koetser Gallery, February 26, 1952 ",NAM0594,David Koetser Gallery,02/26/1952,1952,1950,1954,"32 East 57th Street, New York, NY","New York, New York",1,"$2,800.00",02/28/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132893_19520226.pdf,PJN00262,,,,,
ACQ017,"David Koetser Gallery, November 8, 1950 ",NAM0594,David Koetser Gallery,11/08/1950,1950,1950,1954,"32 East 57th Street, New York, NY","New York, New York",1,"$5,000.00",11/06/1950,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the FoundationLetter from Guy Emerson recommending purchase to Rush Kress 11/6/1950,52C1_132893_19501108.pdf,PJN00239,,,,,
ACQ018,"David Koetser Gallery, April 3, 1950 ",NAM0594,David Koetser Gallery,04/03/1950,1950,1950,1954,"32 East 57th Street, New York, NY","New York, New York",3,"$16,500.00",04/11/1950,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132893_19500403.pdf,PJN00224;PJN00225;PJN00226,,,,,
ACQ019,"M. Knoedler & Co., January 2, 1957 ",NAM0591,M. Knoedler & Co.,01/02/1957,1957,1955,1959,"14 East 57th Street, New York, NY","New York, New York",5,"$275,000.00",12/05/1957,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,No prices listed.invoiced to the Foundationpaid in 2 installments,52C1_132890_19570102.pdf,PJN00103;PJN00129;PJN00364;PJN00365;PJN00367,,,,,
ACQ021,"M. Knoedler & Co., February 7, 1955 ",NAM0591,M. Knoedler & Co.,02/07/1955,1955,1955,1959,"14 East 57th Street, New York, NY","New York, New York",2,"$85,000.00",06/03/1955,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19550207.pdf,PJN00060;PJN00357,,,,,
ACQ022,"M. Knoedler & Co., May 20, 1954 ",NAM0591,M. Knoedler & Co.,05/20/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$7,500.00",06/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19540520.pdf,PJN00333,,,,,
ACQ023,"M. Knoedler & Co., February 2, 1954 ",NAM0591,M. Knoedler & Co.,02/02/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$200,000.00",06/15/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the FoundationPaid in two installments,52C1_132890_19540202.pdf,PJN00026,,,,,
ACQ024,"M. Knoedler & Co., January 28, 1954 [1]",NAM0591,M. Knoedler & Co.,01/28/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$90,000.00",02/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19540128_01.pdf,PJN00115,,,,,
ACQ025,"M. Knoedler & Co., January 28, 1954 [2]",NAM0591,M. Knoedler & Co.,01/28/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$40,000.00",02/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19540128_02.pdf,PJN00078,,,,,
ACQ026,"M. Knoedler & Co., January 28, 1954 [3]",NAM0591,M. Knoedler & Co.,01/28/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",2,"$60,000.00",02/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,,52C1_132890_19540128_03.pdf,PJN00299;PJN00300,,,,,
ACQ027,"M. Knoedler & Co., January 28, 1954 [4]",NAM0591,M. Knoedler & Co.,01/28/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$110,000.00",02/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19540128_04.pdf,PJN00038,,,,,
ACQ028,"M. Knoedler & Co., January 28, 1954 [5]",NAM0591,M. Knoedler & Co.,01/28/1954,1954,1950,1954,"14 East 57th Street, New York, NY","New York, New York",26,"$125,000.00",02/04/1954,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19540128_05.pdf,PJN00301;PJN00302;PJN00303;PJN00304;PJN00305;PJN00307;PJN00308;PJN00309;PJN00310;PJN00311;PJN00312;PJN00313;PJN00314;PJN00315;PJN00316;PJN00317;PJN00318;PJN00319;PJN00320;PJN00321;PJN00322;PJN00323;PJN00324;PJN00325;PJN00326;PJN00329;,,,,,
ACQ029,"M. Knoedler & Co., June 2, 1953 ",NAM0591,M. Knoedler & Co.,06/02/1953,1953,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$200,000.00",12/01/1953,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundationpaid in 2 installments,52C1_132890_19530602.pdf,PJN00025,,,,,
ACQ030,"M. Knoedler & Co., September 5, 1952 ",NAM0591,M. Knoedler & Co.,09/05/1952,1952,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$82,500.00",09/18/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19520905.pdf,PJN00074,,,,,
ACQ031,"M. Knoedler & Co., February 6, 1952 ",NAM0591,M. Knoedler & Co.,02/06/1952,1952,1950,1954,"14 East 57th Street, New York, NY","New York, New York",12,"$500,000.00",09/05/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundationletter by C. Messmore from Knoedlerpaid in 3 installments,52C1_132890_19520206.pdf,PJN00052;PJN00059;PJN00067;PJN00068;PJN00075;PJN00083;PJN00111;PJN00116;PJN00256;PJN00257;PJN00260;PJN00261;,,,,,
ACQ032,"M. Knoedler & Co., October 18, 1951 ",NAM0591,M. Knoedler & Co.,10/18/1951,1951,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$140,000.00",12/01/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19511018.pdf,PJN00117,,,,,
ACQ033,"M. Knoedler & Co., June 7, 1951 ",NAM0591,M. Knoedler & Co.,06/07/1951,1951,1950,1954,"14 East 57th Street, New York, NY","New York, New York",3,"$60,000.00",06/07/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19510607.pdf,PJN00121;PJN00141;PJN00142,,,,,
ACQ034,"M. Knoedler & Co., February 13, 1951 ",NAM0591,M. Knoedler & Co.,02/13/1951,1951,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$150,000.00",02/14/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19510213.pdf,PJN00092,,,,,
ACQ035,"M. Knoedler & Co., October 23, 1950 ",NAM0591,M. Knoedler & Co.,10/23/1950,1950,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$250,000.00",10/25/1950,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19501023.pdf,PJN00044,,,,,
ACQ036,"M. Knoedler & Co., April 27, 1950 ",NAM0591,M. Knoedler & Co.,04/27/1950,1950,1950,1954,"14 East 57th Street, New York, NY","New York, New York",1,"$75,000.00",05/01/1950,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19500427.pdf,PJN00143,,,,,
ACQ037,"M. Knoedler & Co., May 18, 1945 ",NAM0591,M. Knoedler & Co.,05/18/1945,1945,1945,1949,"14 East 57th Street, New York, NY","New York, New York",1,"$30,000.00",05/21/1945,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19450518.pdf,PJN00032,,,,,
ACQ038,"M. Knoedler & Co., August 6, 1943 ",NAM0591,M. Knoedler & Co.,08/06/1943,1943,1940,1944,"14 East 57th Street, New York, NY","New York, New York",1,"$15,000.00",08/12/1943,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132890_19430806.pdf,PJN00124,,,,,
ACQ039,"M. Knoedler & Co., April 21, 1942 ",NAM0591,M. Knoedler & Co.,04/21/1942,1942,1940,1944,"14 East 57th Street, New York, NY","New York, New York",2,"$55,000.00",04/25/1942,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundationlist of the certificate by various experts. Venturi L. written opinion on back of a photograph dated NY, Nov. 25, 1941",52C1_132890_19420421.pdf,PJN00192;PJN00193,,,,,
ACQ040,"F. Kleinberger Galleries, April 21, 1950 ",NAM0590,F. Kleinberger Galleries,04/21/1950,1950,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$10,000.00",04/24/1950,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132889_19500421.pdf,PJN00228,,,,,
ACQ042,"Hirschl & Adler Galleries, January 16, 1957 ",NAM0535,Hirschl & Adler Galleries,01/16/1957,1957,1955,1959,"21 East 67th Street, New York, NY","New York, New York",1,"$18,000.00",03/05/1957,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132886_19570116.pdf,PJN00374,,,,,
ACQ043,"Heimann, Jacob, March 1, 1938 ",NAM0526,Heimann,03/01/1938,1938,1935,1939,"13 via Serbelloni, Milan, Italy","Milan, Italy",2,"$5,000.00",,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,,52C1_132884_19380301.pdf,PJN00087;PJN00169,,,,,
ACQ044,"Hamilton, Carl W., July 16, 1942 ",NAM0521,Hamilton,07/16/1942,1942,1940,1944,"New York, NY","New York, New York",1,"$145,000.00",07/20/1942,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,affidavit and payment correspondence,52C1_132882_19420716.pdf,PJN00084,,,,,
ACQ045,"Paul Drey Gallery, November 4, 1943 ",NAM0336,Paul Drey Gallery,11/04/1943,1943,1940,1944,"11 East 57th Street, New York, NY","New York, New York",1,"$8,000.00",11/24/1943,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19431104.pdf,PJN00144,,,,,
ACQ046,"Paul Drey Gallery, February 9, 1944 ",NAM0336,Paul Drey Gallery,02/09/1944,1944,1940,1944,"11 East 57th Street, New York, NY","New York, New York",2,"$30,000.00",02/11/1944,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation, complete data and description on an attached document",52C1_132871_19440209.pdf,PJN00037;PJN00050,,,,,
ACQ047,"Paul Drey Gallery, April 15, 1950 ",NAM0336,Paul Drey Gallery,04/15/1950,1950,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$25,000.00",04/18/1950,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19500415.pdf,PJN00227,,,,,
ACQ048,"Paul Drey Gallery, February 15, 1951 ",NAM0336,Paul Drey Gallery,02/15/1951,1951,1950,1954,"11 East 57th Street, New York, NY","New York, New York",2,"$7,250.00",03/15/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation, complete data and description on an attached document",52C1_132871_19510215.pdf,PJN00240;PJN00241,,,,,
ACQ049,"Paul Drey Gallery, March 15, 1951 ",NAM0336,Paul Drey Gallery,03/15/1951,1951,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$65,000.00",03/15/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation, complete data and description on an attached document",52C1_132871_19510315.pdf,PJN00062,,,,,
ACQ050,"Paul Drey Gallery, October 12, 1951 [1]",NAM0336,Paul Drey Gallery,10/12/1951,1951,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$1,200.00",10/17/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19511012_01.pdf,PJN00242,,,,,
ACQ052,"Paul Drey Gallery, October 12, 1951 [2]",NAM0336,Paul Drey Gallery,10/12/1951,1951,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$7,500.00",10/17/1951,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19511012_02.pdf,PJN00243,,,,,
ACQ053,"Paul Drey Gallery, March 4, 1953 ",NAM0336,Paul Drey Gallery,03/05/1952,1952,1950,1954,"11 East 57th Street, New York, NY","New York, New York",3,"$20,000.00",03/06/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19520305.pdf,PJN00263;PJN00264;PJN00265,,,,,
ACQ054,"Paul Drey Gallery, March 5, 1952 ",NAM0336,Paul Drey Gallery,03/04/1953,1953,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$7,500.00",03/05/1953,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation, Correspondence with Dr. Suida gives description",52C1_132871_19530304.pdf,PJN00280,,,,,
ACQ055,"Paul Drey Gallery, March 6, 1953 ",NAM0336,Paul Drey Gallery,03/06/1953,1953,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$6,500.00",03/06/1953,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19530306.pdf,PJN00281,,,,,
ACQ056,"Paul Drey Gallery, June 18, 1953 ",NAM0336,Paul Drey Gallery,06/18/1953,1953,1950,1954,"11 East 57th Street, New York, NY","New York, New York",1,"$18,000.00",06/18/1953,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19530618.pdf,PJN00070,,,,,
ACQ057,"Paul Drey Gallery, February 9, 1955 ",NAM0336,Paul Drey Gallery,02/09/1955,1955,1955,1959,"11 East 57th Street, New York, NY","New York, New York",10,"$50,000.00",05/05/1955,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"Note on invoice indicates object 603 was purchased for Mrs. R. H. Kress.invoiced to the FoundationPaid in two installments: $20,000 2/11/1955 and $30,000 5/5/1955",52C1_132871_19550209.pdf,PJN00340;PJN00341;PJN00342;PJN00343;PJN00344;PJN00345;PJN00346;PJN00348;PJN00349;PJN02066,,,,,
ACQ058,"Drey, Francis A., October 31, 1944 ",NAM0334,Drey,10/31/1944,1944,1940,1944,"32 St. James Street, London, England","London, England",1,,10/31/1944,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,Price in GBP.invoiced to the Foundationaffidavit of title 9/23/1944,52C1_132871_19441031.pdf,PJN00046,,,,,
ACQ059,"Drey, Francis A., December 10, 1947 ",NAM0334,Drey,12/10/1947,1947,1945,1949,"Dorset Hotel, 30 W 54th Street, New York, NY","New York, New York",1,"$2,000.00",12/11/1947,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19471210.pdf,PJN00019,,,,,
ACQ060,"Paul Drey Gallery, October 17, 1956 ",NAM0336,Paul Drey Gallery,10/17/1956,1956,1955,1959,"11 East 57th Street, New York, NY","New York, New York",1,"$20,000.00",10/17/1956,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19561017.pdf,PJN00363,,,,,
ACQ061,"Paul Drey Gallery, January 22, 1957 ",NAM0336,Paul Drey Gallery,01/22/1957,1957,1955,1959,"11 East 57th Street, New York, NY","New York, New York",3,"$27,500.00",03/05/1957,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19570122.pdf,PJN00368;PJN00369;PJN02056,,,,,
ACQ062,"Paul Drey Gallery, February 8, 1957 ",NAM0336,Paul Drey Gallery,02/08/1957,1957,1955,1959,"11 East 57th Street, New York, NY","New York, New York",2,"$15,000.00",06/05/1957,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundation,52C1_132871_19570208.pdf,PJN00370;PJN00371,,,,,
ACQ063,"Frederick Mont, Inc., January 30, 1952 [1]",NAM0814,Frederick Mont,01/30/1952,1952,1950,1954,"The Langdon, 2 East 56th Street, New York, NY","New York, New York",5,"$127,500.00",03/07/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"invoiced to the Foundation$20,000 given as account on 1/30/1952",52C1_132905_19520130_01.pdf,PJN00056;PJN00140;PJN00249;PJN00250;PJN00252,,,,,
ACQ064,"Kunsthistorisches Museum Wien, October 21, 1953 ",NAM0602,Kunsthistorisches Museum Wien,10/21/1953,1953,1950,1954,"Burgring 5, Vienna, Austria","Vienna, Austria",1,"$25,000.00",10/21/1952,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,"Sale documents for these two objects include correspondence, power of attorney, and a bill of sale.The date of the sale is the date on which correspondence was sent confirming the Austrian Cabinet's approval of the sale and giving instructions and a request for payment from the Kunsthistoriches Museum.there some confusion about the purchase of K1906, as according to a folder in KA, the sculpture was purchased on 2/7/1952 for $25,000. the acheck was paid on 2/21/1952 to Oskar Bondy estate per instrouction of the Kunsthistorisches.in a letter filed in a folde dedicated to the Kunsthistorisches, the museum states that the bust is theri property.on permanent loan since 1920 from the furnishing of the Imperial palace and permanetly accessioned by the museum on 13th December 1937. the letter also says that the bust belonged 'from times immemorial to the imperial property'...a note froma a letter of 10/21/1953 instruct to maek a payment to Bondy estate of $6,000. more info in the correspondance. on contrary, the foundation acquired two terracotta busts by A. Vittoria: portrati of a knight for $12,000 and bust of a lady for $8,000. the matter was then resolved and the payments were then made to the museum. not sure how to record all this. In the KA there is a Bondy folder as a seller.",52C1_132897_19531021.pdf,PJN03833,,,,,
ACQ065,"Lehman, Robert, June 11, 1943 ",NAM0622,Lehman,06/11/1943,1943,1940,1944,"625 Park Avenue, New York, NY","New York, New York",17,"$385,000.00",06/15/1943,Series 1.7b Dealer Correspondence and Bills of Sale. Samuel H. Kress Foundation Archive.,,invoiced to the Foundationaffidavit,52C1_132901_19430611.pdf,PJN00028;PJN00045;PJN00079;PJN00080;PJN00085;PJN00086;PJN00088;PJN00090;PJN00091;PJN00113;PJN00131;PJN00194;PJN00195;PJN00196;PJN00197;PJN00198;PJN01865,,,,,
