Master Acq Object Join Data : Table 1

AcqObjJoin_ID,AcqObjJoin_Type,AcqObjJoin_PriceUSD,AcqObjJoin_CreditUSD,AcqObjJoin_ReturnUSD,AcqObjJoin_Attribution,AcqObjJoin_AttributionArtistNameID,AcqObjJoin_InternalNote,AcqObjJoin_RelatedObjectID,AcqObjJoin_RelatedAcquisitionID,
PJN00031,Purchase,,,,Acquired as St. Joachim Giving Bread To Poor by Andrea di Bartolo,NAM0030,"K84, K85 and K86 purchased together for $60,000.  ",1157,ACQ118,
PJN00032,Purchase,"$30,000.00",,,Acquired as Eunastos of Tanagra by Luca Signorelli,NAM1097,,1172,ACQ037,
PJN00033,Purchase,,,,Acquired as Marble Angel by Giovanni Antonio Amadeo,NAM0022,"KSF3 and KSF4 purchased together for $43,600.",1203,ACQ112,
PJN00034,Purchase,,,,Acquired as Marble Angel by Giovanni Antonio Amadeo,NAM0022,"KSF3 and KSF4 purchased together for $43,600.",1204,ACQ112,
PJN00036,Purchase,"$10,000.00",,,Acquired as Landscape by Jacob van Ruisdael,NAM1040,,1217,ACQ071,
PJN00037,Purchase,,,,"Acquired as Lion, Walking by Florentine, Quattrocento",NAM0391,"Purchased with K1380 for $30,000.",1248,ACQ046,
PJN00038,Purchase,"$110,000.00",,,Acquired as Madame David by Jacques-Louis David,NAM0302,,1314,ACQ027,
PJN00039,Purchase,"$77,500.00",,,Acquired as Madame Moitessier by Jean-Auguste-Dominique Ingres,NAM0550,,1316,ACQ090,
PJN00040,Purchase,"$60,000.00",,,Acquired as Madonna and Child by Bartolomeo Montagna,NAM0815,,1322,ACQ117,
PJN00042,Purchase,"$20,000.00",,,Acquired as Madonna and Child by Jacopo Sansovino,NAM1061,,1338,ACQ010,
PJN00043,Purchase,"$35,000.00",,,Acquired as Madonna and Child by Marco Zoppo,NAM1270,,1341,ACQ097,
PJN00044,Purchase,"$250,000.00",,,Acquired as The Thyssen Madonna by Albrecht Dürer,NAM0343,,1344,ACQ035,
PJN00045,Purchase,"$82,000.00",,,Acquired as Madonna and Child by Margaritone d'Arezzo,NAM0689,,1349,ACQ065,
PJN00046,Purchase,"$129,000.00",,,Acquired as Madonna and Child Enthroned with Donor by Carlo Crivelli,NAM0287,Currency GBP.,1351,ACQ058,
PJN00047,Purchase,,,,Acquired as Madonna and Child by Giovanni Baronzio,NAM0081,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",1360,ACQ006,
PJN00048,Purchase,,,,Acquired as Madonna and Child with Angels by Sandro Botticelli,NAM0158,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",1361,ACQ006,
PJN00049,Purchase,,,,Acquired as The Rapolano Altarpiece: Madonna with Anthony the Abbot and Hermenegildus by Neroccio,NAM0848,"K1345 and K1346 purchased together for $106,500.",1366,ACQ103,
PJN00050,Purchase,,,,Acquired as Madonna and Child Enthroned with Angels by oeuvre of the Comacini,NAM0039,"Purchased with K1381 for $30,000.",1380,ACQ046,
PJN00051,Purchase,"$12,500.00",,,Acquired as Garden Scene with Figures by Sebastiano Ricci and Marco Ricci,NAM1002,,1474,ACQ015,
PJN00052,Purchase,"$30,000.00",,,Acquired as Monsignor della Casa by Sebastiano del Piombo,NAM1079,,1500,ACQ031,
PJN00053,Purchase,,,,Acquired as Schloss Nymphenburg by Bernardo Bellotto,NAM0110,"K1864 and K1865 purchased together for $22,000.",1548,ACQ094,
PJN00054,Purchase,,,,Acquired as Portrait of the French Magistrate Omer Talon by Philippe de Champaigne,NAM0241,"K1836 and K1837 purchased together for $50,000.",1554,ACQ091,
PJN00055,Purchase,"$55,000.00",,,Acquired as Painting and Sculpture by Jean-Pierre-Antoine Tassaert,NAM1153,,1577,ACQ010,
PJN00056,Purchase,"$25,000.00",,,"Acquired as Benson Pietà
 by Filippino Lippi",NAM0635,,1637,ACQ063,
PJN00057,Purchase,"$65,000.00",,,Acquired as Poetry and Music by Clodion,NAM0258,Object mis-labeled as K1672 on invoice. ,1654,ACQ010,
PJN00058,Purchase,"$250,000.00",,,Acquired as Portrait of a man by Albrecht Dürer,NAM0343,,1666,ACQ083,
PJN00059,Purchase,"$20,000.00",,,Acquired as Portrait of a Man by Dirck Bouts,NAM1298,,1667,ACQ031,
PJN00060,Purchase,"$63,750.00",,,"Acquired as Portrait of a Man, traditionally called Federigo da Bozzolo by Sebastiano del Piombo",NAM1079,,1671,ACQ021,
PJN00061,Purchase,,,,Acquired as Portrait of a Young warrior by Giovanni Girolamo Savoldo,NAM1067,"Purchased with K1847 for $100,000.",1672,ACQ070,
PJN00062,Purchase,"$65,000.00",,,Acquired as Profile Portrait of a Nobleman by North Italian Master of the 15th century,NAM0039,formerly attributed to Carlo Crivelli,1692,ACQ049,
PJN00063,Purchase,,,,Acquired as Portrait of a Gentleman by Lucas Cranach the Elder,NAM0282,"$65,000.00 for the pair K2031 and K2032.",1702,ACQ097,
PJN00064,Purchase,"$17,000.00",,,Acquired as Portrait of a Man with Flag by Jacopo Tintoretto,NAM1166,,1706,ACQ125,
PJN00065,Purchase,"$10,000.00",,,,,,1707,ACQ123,
PJN00066,Purchase,,,,Acquired as Portrait of a Lady by Lucas Cranach the Elder,NAM0282,"$65,000.00 for the pair K2031 and K2032.",1714,ACQ097,
PJN00067,Purchase,"$60,000.00",,,Acquired as Portrait of a Man by Hans Holbein the Younger,NAM0538,,1721,ACQ031,
PJN00068,Purchase,"$60,000.00",,,Acquired as Portrait of a Young Man by Antonio Moro,NAM1385,,1722,ACQ031,
PJN00069,Purchase,"$15,000.00",,,Acquired as Portrait of a Young Woman by Giuliano Bugiardini,NAM0182,,1724,ACQ116,
PJN00070,Purchase,"$18,000.00",,,"Acquired as Portrait of an Ecclesiastic by French, Middle of 15th Century",NAM0419,,1728,ACQ056,
PJN00071,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",1734,ACQ006,
PJN00072,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",1735,ACQ006,
PJN00073,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",1736,ACQ006,
PJN00074,Purchase,"$82,500.00",,,Acquired as Queen Henrietta Maria with Sir Jeffrey Hudson by Sir Anthony van Dyck,NAM0346,,1751,ACQ030,
PJN00075,Purchase,"$70,000.00",,,Acquired as Rebecca at the Well by Veronese,NAM1222,,1761,ACQ031,
PJN00076,Purchase,"$60,000.00",,,"Acquired as Saint Anne with the Christ Child, the Virgin, and Saint John the Baptist by Hans Baldung Grien",NAM0072,"according to the attached expertizations of Dr. Ernst Buchner and Professor Carl Koch, painting in 1511",1793,ACQ096,
PJN00077,Purchase,"$8,200.00",,,Acquired as Scene from the Life of Saint Catherine by Antonio Vivarini,NAM1233,,1800,ACQ111,
PJN00078,Purchase,"$40,000.00",,,Acquired as St. Helena of Constantinople by Cima da Conegliano,NAM0251,,1829,ACQ025,
PJN00079,Purchase,"$12,000.00",,,Acquired as Saint James by Simone Martini,NAM1104,,1830,ACQ065,
PJN00080,Purchase,"$15,000.00",,,Acquired as Saint James by Master of Saint Francis,NAM0721,,1831,ACQ065,
PJN00081,Purchase,,,,Acquired as Saint Jerome Before a Crucifix by Jan Gossaert,NAM0492,"This and 1661B purchased together for $25,000",1851,ACQ010,
PJN00082,Purchase,,,,Acquired as Saint Jerome Before a Crucifix by Jan Gossaert,NAM0492,"This and 1661A purchased together for $25,000",1852,ACQ010,
PJN00083,Purchase,"$80,000.00",,,"Acquired as Saint Paula, Saint Eustochium and Saint Jerome by Francisco de Zurbarán",NAM1273,,1855,ACQ031,
PJN00084,Purchase,"$145,000.00",,,Acquired as Saint John in the Desert by Domenico Veneziano,NAM0327,"this painting is universally recognised as one of five small panels, which formerly composed the predella of the famous altarpiece now in the Uffizi Gallery in Florence, Italy.
""Madonna and Child enthroned with saints"" was originally painted by Domenico Veneziano for the church of Santa Lucia de' Magnoli.",1856,ACQ044,
PJN00085,Purchase,"$15,000.00",,,Acquired as Saint John by Master of the Franciscan Crucifixes,NAM0735,,1864,ACQ065,
PJN00086,Purchase,"$15,000.00",,,Acquired as Saint John the Evangelist by Master of Saint Francis,NAM0721,,1865,ACQ065,
PJN00087,Purchase,,,,Acquired as Saint Cecilia by Dosso Dossi,NAM0331,"Bought with K1130 for $5,000",1869,ACQ043,
PJN00088,Purchase,"$12,000.00",,,Acquired as Saint James Major by Simone Martini,NAM1104,,1876,ACQ065,
PJN00089,Purchase,"$7,000.00",,,Acquired as Male Saint by Michele Giambono,NAM0460,,1882,ACQ123,
PJN00090,Purchase,"$12,000.00",,,Acquired as Saint Simon by Simone Martini,NAM1104,,1905,ACQ065,
PJN00091,Purchase,"$12,000.00",,,Acquired as Saint Thaddeus by Simone Martini,NAM1104,,1906,ACQ065,
PJN00092,Purchase,"$150,000.00",,,Acquired as Saint Veronica by Hans Memling,NAM0786,,1908,ACQ034,
PJN00093,Purchase,"$50,000.00",,,Acquired as The Young Christ by Correggio,NAM0275,,1916,ACQ104,
PJN00094,Purchase,"$25,000.00",,,Acquired as Timocleia and the Thracian Commander by Giovanni Battista Tiepolo,NAM1160,,1922,ACQ011,
PJN00095,Purchase,"$14,000.00",,,"Acquired as Sir John Reade, Bart. at 18 by Rosalba Carriera",NAM0221,,1993,ACQ121,
PJN00096,Purchase,"$9,955.75",,,Acquired as Still Life by J. Van der Hamen,NAM0520,,2018,ACQ013,
PJN00097,Purchase,"$7,500.00",,,Acquired as Glorification of a Poet by Giovanni Battista Tiepolo,NAM1160,,2020,ACQ125,
PJN00098,Purchase,,,,Acquired as Allegorie of Summer by Jacopo Tintoretto,NAM1166,"K2169, K2167, K2170, and K2168 purchased together for $195,000.",2021,ACQ082,
PJN00099,Purchase,"$54,000.00",,,"Acquired as The Adoration of the Magi, attributed to the Dutch School, not later than 1480",NAM0039,,2040,ACQ111,
PJN00100,Purchase,,,,Acquired as Adoration of the Kings by Juan de Flandes,NAM0578,"$38,000 paid for K1944 and K1945.",2047,ACQ077,
PJN00101,Purchase,,,,Acquired as The Annunciation by Veronese,NAM1222,"K2169, K2167, K2170, and K2168 purchased together for $195,000.",2062,ACQ082,
PJN00102,Purchase,,,,Acquired as The Annunciation by Juan de Flandes,NAM0578,"$67,000 paid for K1942 and K1943.",2063,ACQ078,
PJN00103,Purchase,"$50,000.00",,,Acquired as The Ascension by Johann Koerbecke,NAM0593,,2074,ACQ019,
PJN00104,Purchase,"$80,000.00",,,Acquired as The Assumption of the Virgin by Peter Paul Rubens,NAM1038,,2075,ACQ075,
PJN00105,Purchase,"$41,912.69",,,Acquired as The Assumption of the Virgin by Juan de Valdés Leal,NAM1197,,2076,ACQ099,
PJN00106,Purchase,"$44,000.00",,,Acquired as Les Aliments de la Convalescence (La Garde Attentive) by Jean Siméon Chardin,NAM0242,,2078,ACQ069,
PJN00107,Purchase,,,,Acquired as Baptism of Christ by Juan de Flandes,NAM0578,"$38,000 paid for K1944 and K1945.",2086,ACQ077,
PJN00108,Purchase,"$152,806.65",,,Acquired as The Baptism of Christ by Master of the Saint Bartholomew Altar,NAM0755,,2087,ACQ099,
PJN00109,Purchase,"$23,000.00",,,Acquired as The Card Players by Lucas van Leyden,NAM1349,,2095,ACQ073,
PJN00110,Purchase,,,,Acquired as Bust of a Boy by Desiderio da Settignano,NAM1089,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",2102,ACQ006,
PJN00111,Purchase,"$80,000.00",,,Acquired as The Coronation of the Virgin by Paolo Veneziano,NAM0910,,2111,ACQ031,
PJN00112,Purchase,"$13,000.00",,,Acquired as Crucifixion by Sano di Pietro,NAM1059,,2113,ACQ118,
PJN00113,Purchase,"$50,000.00",,,Acquired as Crucifixion by Francesco del Cossa,NAM0276,,2115,ACQ065,
PJN00114,Purchase,"$11,000.00",,,Acquired as The Crucifixion by Wolf Huber,NAM1339,"K1868 and K1867 purchased together for $22,000.",2118,ACQ094,
PJN00115,Purchase,"$90,000.00",,,Acquired as Crucifixion by Master of Saint Veronica,NAM0723,,2121,ACQ024,
PJN00116,Purchase,"$10,000.00",,,Acquired as The Crucifixion by Lucas Cranach the Elder,NAM0282,,2128,ACQ031,
PJN00117,Purchase,"$140,000.00",,,Acquired as The Death of a Saint by Master of Heiligenkreuz,NAM0719,,2142,ACQ032,
PJN00118,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",2143,ACQ006,
PJN00119,Purchase,,,,Acquired as Sketch for Venice Alterpiece Scene by Sebastiano Ricci,NAM1002,"K163 and K164 bought as a pair for $ 7,000.00.",2165,ACQ122,
PJN00120,Purchase,,,,Acquired as Love Sickness by Pietro Longhi,NAM0648,"K146 and K147 bought as a pair for $24,000.00.",2167,ACQ121,
PJN00121,Purchase,,,,Acquired as Adam and Eve [middle panel] by Albrecht Altdorfer,NAM1275,"K1849A, K1849B, and K1849C bought as triptych for $60,000.",2168,ACQ033,
PJN00122,Purchase,"$6,500.00",,,Acquired as Flight to Egypt by Joachim Patenir,NAM1393,,2179,ACQ079,
PJN00123,Purchase,,,,Acquired as Blind Man's Bluff by Pietro Longhi,NAM0648,"K146 and K147 bought as a pair for $24,000.00.",2182,ACQ121,
PJN00124,Purchase,"$15,000.00",,,Acquired as Gathering Manna in the Wilderness by Bacchiacca,NAM0066,,2183,ACQ038,
PJN00126,Purchase,"$150,000.00",,,Acquired as The Holy Family by Giorgione,NAM0468,,2192,ACQ010,
PJN00127,Purchase,"$50,000.00",,,Acquired as The Infant Bacchus by Giovanni Bellini,NAM0107,,2201,ACQ010,
PJN00128,Purchase,,,,Acquired as La Ratisseuse by Jean Siméon Chardin,NAM0242,"Purchased with K1846 for $100,000.",2218,ACQ070,
PJN00129,Purchase,,,,Acquired as The Magdalen by Bernardino Luini,NAM0668,"Purchased with K2160 for $275,000.",2226,ACQ019,
PJN00130,Purchase,,,,Acquired as Fresco by Bernardino Luini,NAM0668,"Bought as part of a group of 9 frescoes (K1314-K1322) along with K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",2244,ACQ006,
PJN00131,Purchase,"$15,000.00",,,Acquired as Madonna by Master of the Franciscan Crucifixes,NAM0735,,2245,ACQ065,
PJN00132,Purchase,"$30,000.00",,,Acquired as Calliope and Urania by Simon Vouet and Studio,NAM1238,,2246,ACQ003,
PJN00133,Purchase,"$45,000.00",,,Acquired as Marriage of St. Catherine by Correggio,NAM0275,,2247,ACQ124,
PJN00134,Purchase,,,,Acquired as The Adoration of the Child by Luca della Robbia,NAM1012,"K1410 and K1411 purchased together for $250,000.",2252,ACQ008,
PJN00135,Purchase,,,,Acquired as Birth of Christ by Juan de Flandes,NAM0578,"$67,000 paid for K1942 and K1943.",2253,ACQ078,
PJN00136,Purchase,,,,Acquired as Birth of the Virgin by Andrea di Bartolo,NAM0030,"K84, K85 and K86 purchased together for $60,000.  ",2260,ACQ118,
PJN00137,Purchase,"$7,000.00",,,Acquired as The Banquet of Epulone by Domenico Fetti,NAM0378,,2263,ACQ124,
PJN00138,Purchase,"$65,000.00",,,"Acquired as The Porta Portello, Padua by Canaletto",NAM0204,,2268,ACQ004,
PJN00139,Purchase,,,,Acquired as Presentation at the Temple by Andrea di Bartolo,NAM0030,"K84, K85 and K86 purchased together for $60,000.  ",2274,ACQ118,
PJN00140,Purchase,"$27,000.00",,,Acquired as Madonna and Child in a Landscape by Jan Scorel,NAM1413,,2283,ACQ063,
PJN00141,Purchase,,,,Acquired as Bacchus [left panel] by Albrecht Altdorfer,NAM1275,"K1849A, K1849B, and K1849C bought as triptych for $60,000.",2289,ACQ033,
PJN00142,Purchase,,,,Acquired as Mars [right panel] by Albrecht Altdorfer,NAM1275,"K1849A, K1849B, and K1849C bought as triptych for $60,000.",2290,ACQ033,
PJN00143,Purchase,"$75,000.00",,,Acquired as Temptation of St. Anthony by Pieter Brueghel the Elder,NAM1300,,2303,ACQ036,
PJN00144,Purchase,"$8,000.00",,,Acquired as The Handkerchief of St. Veronica by Domenico Feti,NAM0378,,2327,ACQ045,
PJN00145,Purchase,"$8,000.00",,,Acquired as Interior with Elegant Company by Jacopo Amigoni?,NAM0026,,2364,ACQ015,
PJN00146,Purchase,"$12,000.00",,,Acquired as Portrait of a Boy with Cap by Francesco de' Rossi (Salviati),NAM1053,,2401,ACQ123,
PJN00147,Purchase,"$11,000.00",,,Acquired as Munich by Bernardo Bellotto,NAM0110,"K1864 and K1865 purchased together for $22,000.",2438,ACQ094,
PJN00148,Purchase,"$9,000.00",,,Acquired as Portrait of a Young Woman in a Domino by Giovan Battista Tiepolo,NAM1160,"Bibliography and photostat from from the exhibit ""Mostra di pittura veneziana del Settecento"" in Rome given to Suida.",2492,ACQ108,
PJN00149,Purchase,"$62,500.00",,,Acquired as The Virgin with the Child on a Gothic Throne Flanked by Angels and Surmounted by Two Angels who Hold the Crown of the Saviour's Mother by Italian School of 1400,NAM0039,,2509,ACQ109,
PJN00150,Purchase,,,,Acquired as 1 of 4 panels representing The Triumphs by School of Mantegna,NAM0039,"K10-13 purchased together for $20,500.",2510,ACQ109,
PJN00151,Purchase,,,,Acquired as Saint by Sano di Pietro ,NAM1059,"K100 and K101 purchased together for $20,000.",2511,ACQ119,
PJN00152,Purchase,,,,Acquired as Saint by Sano di Pietro,NAM1059,"K100 and K101 purchased together for $20,000.",2520,ACQ119,
PJN00153,Purchase,"$10,000.00",,,"Acquired as St. Jerome by Bolognese School, 1300",NAM0039,,2529,ACQ119,
PJN00154,Purchase,"$10,000.00",,,"Acquired as Cassone Front by Ferrarese School, about 1473",NAM0372,"Note on bill of sale ""Not delivered.""  Phaidon catalogue states Kress did not acquire until 1931.",2538,ACQ119,
PJN00155,Purchase,"$5,000.00",,,Acquired as A Saint by Martino di Bartolomeo,NAM0700,,2545,ACQ119,
PJN00156,Purchase,"$8,500.00",,,Acquired as Nativity by Francesco Bassano,NAM0087,,2554,ACQ119,
PJN00157,Purchase,"$10,000.00",,,Acquired as St. Catherine by Ugolino Lorenzetti,NAM0652,,2564,ACQ119,
PJN00158,Purchase,,,,"Acquired as Figure of a Bishop Saint (St. Albert) by Roman artist, 2nd half of 1400",NAM1019,"K1062A and K1062B purchased as a pair for 3,000.00.",2567,ACQ125,
PJN00159,Purchase,,,,"Acquired as Figure of Bishop Saint (St. Biago) by Roman artist, 2nd half of 1400s",NAM1019,"K1062A and K1062B purchased as a pair for 3,000.00.
Re-purchased.
12/15/1936 transfer to SHKF.  Assigned new number.
",2568,ACQ125,
PJN00160,Purchase,"$11,500.00",,,Acquired as Woman with Girl by Cornelis de Vos,NAM1236,"Number 211 on purchase invoice. Transferred to Foundation and given new number of K1065, 12/15/1936.",2571,ACQ125,
PJN00161,Purchase,"$3,500.00",,,"Acquired as St. Jerome by North Italian School, 1500",NAM0874,,2583,ACQ119,
PJN00162,Purchase,"$3,500.00",,,"Acquired as Madonna and Child by Florentine School, about 1390",NAM0039,,2585,ACQ119,
PJN00163,Purchase,"$15,300.00",,,Acquired as Madonna and Child with Saints by Bernardo Daddi,NAM0291,,2592,ACQ084,
PJN00164,Purchase,,,,Acquired as 1 of 4 panels representing The Triumphs by School of Mantegna,NAM0039,"K10-13 purchased together for $20,500.",2601,ACQ109,
PJN00165,Purchase,"$2,500.00",,,Acquired as Predella by Martino di Bartolomeo,NAM0700,,2602,ACQ119,
PJN00169,Purchase,,,,Acquired as Storm at Sea  by Alessandro Magnasco,NAM0675,"Bought with K1129 for $5,000",2639,ACQ043,
PJN00170,Purchase,"$2,500.00",,,Acquired as Portrait of a Lady by Paulus Moreelse,NAM0821,,2640,ACQ066,
PJN00171,Purchase,"$2,500.00",,,Acquired as Portrait of a Gentleman by Paulus Moreelse,NAM0821,,2641,ACQ066,
PJN00172,Purchase,"$2,500.00",,,Acquired as Portrait of a Lady by Nicolaes Maes,NAM0673,,2642,ACQ066,
PJN00173,Purchase,"$3,000.00",,,Acquired as Adoration of the Magi by Giovanni dal Ponte,NAM0473,,2643,ACQ066,
PJN00174,Purchase,"$20,000.00",,,Acquired as Madonna and Child by Paolo Giovanni Fei,NAM0370,,2647,ACQ120,
PJN00175,Purchase,"$6,500.00",,,Acquired as Portrait of Man by Largillière,NAM0609,,2670,ACQ120,
PJN00176,Purchase,"$5,000.00",,,Acquired as Two Saints by Milanese School,NAM0039,,2704,ACQ120,
PJN00177,Purchase,,,,Acquired as 1 of 4 panels representing The Triumphs by School of Mantegna,NAM0039,"K10-13 purchased together for $20,500.",2713,ACQ109,
PJN00178,Purchase,"$5,000.00",,,Acquired as Two Saints by Falconetto,NAM0366,,2714,ACQ120,
PJN00179,Purchase,"$3,000.00",,,Acquired as Miracle of St. Nicholas by Florentine School,NAM0039,,2735,ACQ120,
PJN00180,Purchase,"$5,500.00",,,Acquired as Madonna and Child by Venetian School,NAM0039,,2747,ACQ120,
PJN00181,Purchase,"$5,500.00",,,Acquired as Portrait of Boy by Il Bronzino,NAM0020,,2756,ACQ120,
PJN00182,Purchase,"$10,000.00",,,Acquired as Portrait of a Warrior by Marco Basaiti,NAM0085,,2758,ACQ120,
PJN00183,Purchase,"$6,000.00",,,Acquired as Diana Hunting by School of Giorgione,NAM0039,,2768,ACQ120,
PJN00184,Purchase,"$4,000.00",,,Acquired as St. Jerome by Moretto da Brescia,NAM0822,,2777,ACQ120,
PJN00185,Purchase,,,,Acquired as 1 of 4 panels representing The Triumphs by School of Mantegna,NAM0039,"K10-13 purchased together for $20,500.",2793,ACQ109,
PJN00186,Purchase,,,,Acquired as Madonna and Child by Benedetto da Maiano,NAM0112,"Bought with 9 frescoes (K1314-K1322), K1309, K1310, K1311, K1312, K1313, K1323, K1324, K1325, K1326, K1327, and K1328 for $1,635,000.",2796,ACQ006,
